date,GDP,GDPM,EMP_CONS_CAN,TOT_HRS_CAN,NDM_new,IP_new,MANU_TOT_INV_new,RT_new,IMP_TRANSP_BP_new,EMP_SALES_CAN
2015-01-01,-0.005510348,-0.003300736,0.000920409,-0.001361172,0.009821718,-0.011444405,0.013304058,-0.009779796,0.003710766,-0.000209454
2015-04-01,-0.002725431,-0.00171428,-0.012865361,0.007066526,0.001681439,-0.018322866,0.005330593,0.00235633,0.053701474,-0.000529991
2015-07-01,0.003530778,0.005756233,0.005185541,0.001909182,0.008917695,0.016993515,0.01324753,0.013575738,0.024119908,0.002782396
2015-10-01,0.000748494,0.000502545,-0.008132715,-0.000634735,-0.012325838,-0.009356164,0.000873137,0.008052083,0.01614711,-0.000799454
2016-01-01,0.005470021,0.004554663,0.014601295,0.004402007,0.004384157,0.000552687,-0.017750122,0.023439965,0.023918585,0.001684258
2016-04-01,-0.004929246,-0.004896608,0.004305347,-0.003165577,-0.002253188,-0.024700816,-0.015412126,-0.002517073,-0.011667845,0.006574581
2016-07-01,0.010259329,0.010391699,-0.004159921,-0.002429416,0.010137713,0.036472308,0.015935975,0.000148239,0.031948503,-0.004954472
2016-10-01,0.005599126,0.007131499,0.009863702,0.004468366,-0.002029265,0.012878335,0.004883622,0.008903314,-0.01800189,0.007538169
2017-01-01,0.010810551,0.010446462,0.002516629,0.002498767,0.00619692,0.010801583,0.021894937,0.014643106,0.041122226,0.009231953
2017-04-01,0.010178465,0.012403881,0.005966605,0.009110386,0.0129468,0.017066366,0.020508582,0.006572653,0.026402784,0.006395252
2017-07-01,0.004209856,0.004989154,0.003088622,0.00890719,-0.007821941,0.003051011,0.000323191,-0.00801458,-0.020135883,0.010940142
2017-10-01,0.005166537,0.00700897,0.021426961,0.003850798,0.010866448,0.001067602,0.020812102,0.01405087,-0.000579997,0.001101667
2018-01-01,0.008714313,0.007737057,0.004147605,0.006921062,0.004307782,0.014285094,0.033599463,0.002909508,0.030566886,-0.003748255
2018-04-01,0.007820394,0.008213572,-0.004914129,-0.000742954,0.001638489,0.015479803,0.037425257,0.012127658,-0.015110921,-0.011413944
2018-07-01,0.006877521,0.007578683,0.005237798,0.00492092,0.018500929,0.013922434,0.025658043,0.011939266,-0.024085912,0.00033651
2018-10-01,0.003402899,0.002989801,0.013044162,0.004374918,-0.009796335,-0.005586885,0.022656852,0.002584353,-0.004463128,0.002699996
2019-01-01,0.000905998,-0.000831181,-0.00689129,-0.001914403,-0.006805674,-0.018523251,0.011843432,-0.005444512,0.042688489,0.006617083
2019-04-01,0.009858622,0.012934509,0.011557654,0.008871093,0.00749363,0.031359893,0.021815276,-0.002288704,0.023917555,0.012340212
2019-07-01,0.003261105,0.001154782,0.008525124,-0.000374987,-0.013253416,-0.023490736,0.005942863,0.002092639,-0.023508941,-0.002908639
2019-10-01,0.003002326,0.003628032,-0.005192354,-9.37E-05,0.010948555,-0.002749969,-0.006555949,-0.004269767,-0.068819273,0.004353921
2020-01-01,-0.021809126,-0.01927598,0.014582726,-0.043827905,-0.021637793,-0.017417612,0.00792177,-0.028457576,-0.035093553,-0.015871001
2020-04-01,-0.117011877,-0.115406176,-0.178536625,-0.194739849,-0.115815427,-0.133980085,-0.0192722,-0.122387047,-1.025903454,-0.141894845
2020-07-01,0.086030515,0.084311579,0.089670062,0.156157339,0.100017802,0.074685509,-0.011364796,0.165505821,1.01091388,0.117538591
2020-10-01,0.021687333,0.020037747,0.016298269,0.036663663,0.027429277,0.028358935,0.007206035,0.026597269,0.016295194,0.02297146
2021-01-01,0.011975034,0.012663327,0.04155472,0.02690821,-0.010001973,0.017285961,0.021074013,0.012739188,-0.056753483,-0.017376443
2021-04-01,-0.008021118,-0.002768468,-0.008062604,-0.009726561,-0.00170125,-0.005859123,0.022893491,-0.025762808,-0.164711067,0.00897898
2021-07-01,0.013262808,0.012296939,-0.010445907,0.016361983,0.012451307,0.02082639,0.063468355,0.026821593,0.083529325,0.024419611
